step_id,campaign_id,campaign_name,industry,sender,receiver,step_order,subject,wait_days,variant,variant_from_step
15,8,MFG Outbound - Microsoft → Proofpoint (11_03),Manufacturing,Microsoft,Proofpoint,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2,False,
28,8,MFG Outbound - Microsoft → Proofpoint (11_03),Manufacturing,Microsoft,Proofpoint,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3,False,
30,8,MFG Outbound - Microsoft → Proofpoint (11_03),Manufacturing,Microsoft,Proofpoint,4,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
183,29,IT And Consulting - Google → Google (27_03),IT & Consulting,Google,Google,0,for {FIRST_NAME},1,True,182
185,29,IT And Consulting - Google → Google (27_03),IT & Consulting,Google,Google,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,184
187,29,IT And Consulting - Google → Google (27_03),IT & Consulting,Google,Google,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,186
189,29,IT And Consulting - Google → Google (27_03),IT & Consulting,Google,Google,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,188
182,29,IT And Consulting - Google → Google (27_03),IT & Consulting,Google,Google,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
184,29,IT And Consulting - Google → Google (27_03),IT & Consulting,Google,Google,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
186,29,IT And Consulting - Google → Google (27_03),IT & Consulting,Google,Google,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
188,29,IT And Consulting - Google → Google (27_03),IT & Consulting,Google,Google,4,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
191,30,IT And Consulting - Google → Custom+Misc (27_03),IT & Consulting,Google,Custom+Misc,0,for {FIRST_NAME},1,True,190
193,30,IT And Consulting - Google → Custom+Misc (27_03),IT & Consulting,Google,Custom+Misc,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,192
195,30,IT And Consulting - Google → Custom+Misc (27_03),IT & Consulting,Google,Custom+Misc,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,194
197,30,IT And Consulting - Google → Custom+Misc (27_03),IT & Consulting,Google,Custom+Misc,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,True,196
190,30,IT And Consulting - Google → Custom+Misc (27_03),IT & Consulting,Google,Custom+Misc,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
192,30,IT And Consulting - Google → Custom+Misc (27_03),IT & Consulting,Google,Custom+Misc,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
194,30,IT And Consulting - Google → Custom+Misc (27_03),IT & Consulting,Google,Custom+Misc,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
196,30,IT And Consulting - Google → Custom+Misc (27_03),IT & Consulting,Google,Custom+Misc,4,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1,False,
