campaign_id,campaign_name,industry,sender,receiver,month,step_id,step_order,subject,sent,leads_contacted,unique_replies,unique_opens,interested,bounced,unsubscribed
57,Medical Equipment - Microsoft → Outlook (21_04),Medical Equipment,Microsoft,Outlook,2026-03,366,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
57,Medical Equipment - Microsoft → Outlook (21_04),Medical Equipment,Microsoft,Outlook,2026-03,367,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
57,Medical Equipment - Microsoft → Outlook (21_04),Medical Equipment,Microsoft,Outlook,2026-04,362,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},4211,4211,3,0,0,37,0
57,Medical Equipment - Microsoft → Outlook (21_04),Medical Equipment,Microsoft,Outlook,2026-04,363,0,for {FIRST_NAME},4114,4114,3,0,0,38,0
57,Medical Equipment - Microsoft → Outlook (21_04),Medical Equipment,Microsoft,Outlook,2026-04,364,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3231,3231,1,0,0,2,0
57,Medical Equipment - Microsoft → Outlook (21_04),Medical Equipment,Microsoft,Outlook,2026-04,365,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3175,3175,1,0,0,2,0
57,Medical Equipment - Microsoft → Outlook (21_04),Medical Equipment,Microsoft,Outlook,2026-04,366,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},104,104,0,0,0,0,0
57,Medical Equipment - Microsoft → Outlook (21_04),Medical Equipment,Microsoft,Outlook,2026-04,367,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},97,97,0,0,0,0,0
65,Advertising - Microsoft → Outlook (22_04),Advertising,Microsoft,Outlook,2026-03,410,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
65,Advertising - Microsoft → Outlook (22_04),Advertising,Microsoft,Outlook,2026-03,411,0,for {FIRST_NAME},0,0,0,0,0,0,0
65,Advertising - Microsoft → Outlook (22_04),Advertising,Microsoft,Outlook,2026-03,412,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
65,Advertising - Microsoft → Outlook (22_04),Advertising,Microsoft,Outlook,2026-03,413,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
65,Advertising - Microsoft → Outlook (22_04),Advertising,Microsoft,Outlook,2026-03,414,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
65,Advertising - Microsoft → Outlook (22_04),Advertising,Microsoft,Outlook,2026-03,415,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
65,Advertising - Microsoft → Outlook (22_04),Advertising,Microsoft,Outlook,2026-04,410,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3795,3795,13,0,2,23,0
65,Advertising - Microsoft → Outlook (22_04),Advertising,Microsoft,Outlook,2026-04,411,0,for {FIRST_NAME},3732,3732,11,0,0,26,0
65,Advertising - Microsoft → Outlook (22_04),Advertising,Microsoft,Outlook,2026-04,412,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},3056,3056,13,0,1,2,0
65,Advertising - Microsoft → Outlook (22_04),Advertising,Microsoft,Outlook,2026-04,413,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},2963,2963,9,0,1,0,0
65,Advertising - Microsoft → Outlook (22_04),Advertising,Microsoft,Outlook,2026-04,414,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
65,Advertising - Microsoft → Outlook (22_04),Advertising,Microsoft,Outlook,2026-04,415,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
56,Medical Equipment - Google → Custom+Misc (21_04),Medical Equipment,Google,Custom+Misc,2026-03,356,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
56,Medical Equipment - Google → Custom+Misc (21_04),Medical Equipment,Google,Custom+Misc,2026-03,357,0,for {FIRST_NAME},0,0,0,0,0,0,0
56,Medical Equipment - Google → Custom+Misc (21_04),Medical Equipment,Google,Custom+Misc,2026-03,358,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
56,Medical Equipment - Google → Custom+Misc (21_04),Medical Equipment,Google,Custom+Misc,2026-03,359,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
56,Medical Equipment - Google → Custom+Misc (21_04),Medical Equipment,Google,Custom+Misc,2026-03,360,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
56,Medical Equipment - Google → Custom+Misc (21_04),Medical Equipment,Google,Custom+Misc,2026-03,361,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
56,Medical Equipment - Google → Custom+Misc (21_04),Medical Equipment,Google,Custom+Misc,2026-04,356,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1887,1887,17,0,0,83,0
56,Medical Equipment - Google → Custom+Misc (21_04),Medical Equipment,Google,Custom+Misc,2026-04,357,0,for {FIRST_NAME},1832,1832,34,0,3,85,0
56,Medical Equipment - Google → Custom+Misc (21_04),Medical Equipment,Google,Custom+Misc,2026-04,358,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1706,1706,20,0,2,11,0
56,Medical Equipment - Google → Custom+Misc (21_04),Medical Equipment,Google,Custom+Misc,2026-04,359,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1756,1756,7,0,0,18,0
56,Medical Equipment - Google → Custom+Misc (21_04),Medical Equipment,Google,Custom+Misc,2026-04,360,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1454,1454,13,0,2,3,0
56,Medical Equipment - Google → Custom+Misc (21_04),Medical Equipment,Google,Custom+Misc,2026-04,361,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},1350,1350,7,0,0,5,0
63,Advertising - Google → Google (22_04),Advertising,Google,Google,2026-03,398,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
63,Advertising - Google → Google (22_04),Advertising,Google,Google,2026-03,399,0,for {FIRST_NAME},0,0,0,0,0,0,0
63,Advertising - Google → Google (22_04),Advertising,Google,Google,2026-03,400,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
63,Advertising - Google → Google (22_04),Advertising,Google,Google,2026-03,401,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
63,Advertising - Google → Google (22_04),Advertising,Google,Google,2026-03,402,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
63,Advertising - Google → Google (22_04),Advertising,Google,Google,2026-03,403,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
63,Advertising - Google → Google (22_04),Advertising,Google,Google,2026-04,398,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},6781,6781,99,0,7,22,0
63,Advertising - Google → Google (22_04),Advertising,Google,Google,2026-04,399,0,for {FIRST_NAME},6702,6702,188,0,21,14,0
63,Advertising - Google → Google (22_04),Advertising,Google,Google,2026-04,400,2,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},6598,6598,81,0,8,5,0
63,Advertising - Google → Google (22_04),Advertising,Google,Google,2026-04,401,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},6564,6564,58,0,3,9,0
63,Advertising - Google → Google (22_04),Advertising,Google,Google,2026-04,402,3,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},4620,4620,61,0,4,2,0
63,Advertising - Google → Google (22_04),Advertising,Google,Google,2026-04,403,0,Re: {Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},4733,4733,64,0,2,4,0
60,Equipment Rental - Google → Custom+Misc (21_04),Equipment Rental,Google,Custom+Misc,2026-03,380,1,{Hidden|Untapped|Overlooked} inbound {opportunities|demand|lead opportunities} for {COMPANY},0,0,0,0,0,0,0
60,Equipment Rental - Google → Custom+Misc (21_04),Equipment Rental,Google,Custom+Misc,2026-03,381,0,for {FIRST_NAME},0,0,0,0,0,0,0
